search URL:,https://patents.google.com/?country=US&before=filing:20220101&after=filing:20220101&type=PATENT&sort=new
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-11383155-B1,Educational toy ,Quanzhou Kuanrui Information Technology Co. Ltd.,"Aihong Jiang, Yichen Li, Yuxuan Xie, Xiaonuo Xu, Xiaoyan Xu, Chuyi Xu",2021-11-22,2022-01-01,2022-07-12,2022-07-12,https://patents.google.com/patent/US11383155B1/en,https://patentimages.storage.googleapis.com/7a/b5/77/1153bf357ca655/US11383155-20220712-D00000.png
US-11608217-B1,Automated closure for hermetically sealing an immersion cooling tank during a hot swap of equipment therein ,Liquidstack Holding B.V.,"Kar-Wing Lau, Wai Sing Cheng, Joseph Capes",2022-01-01,2022-01-01,2023-03-21,2023-03-21,https://patents.google.com/patent/US11608217B1/en,https://patentimages.storage.googleapis.com/16/cf/e8/ddfc95801412b7/US11608217-20230321-D00000.png
US-2022361991-A1,Methods and systems for modeling mandibular motion ,Oxilio Ltd,Islam Khasanovich Raslambekov,2021-05-14,2022-01-01,2022-11-17,,https://patents.google.com/patent/US20220361991A1/en,https://patentimages.storage.googleapis.com/41/fd/23/cb61d67f6d3988/US20220361991A1-20221117-D00000.png
US-2022210018-A1,Providing secure data replication among nodes of a hierarchical multitenant security orchestration and automated response (soar) architecture ,"Fortinet, Inc.","Abhishek Narula, Alok Agarwal, Pooja Singh, Satish Mishra",2020-12-31,2022-01-01,2022-06-30,,https://patents.google.com/patent/US20220210018A1/en,https://patentimages.storage.googleapis.com/9a/7b/65/d51902dc4efca8/US20220210018A1-20220630-D00000.png
US-2023137014-A1,"Neuron element, differential neuron element, a/d converter and neural network ",Soliton Systems K.K.,"Kenich HASHIMOTO, Kazuhisa Takamura, Kunihiro KAJIHARA, Teruhiko Hayashi",2021-01-18,2022-01-01,2023-05-04,,https://patents.google.com/patent/US20230137014A1/en,https://patentimages.storage.googleapis.com/73/df/6e/8a783667085cb7/US20230137014A1-20230504-D00001.png
US-2022191219-A1,Modifying artificial intelligence modules of a fraud detection computing system ,"Raise Marketplace, Llc","William Alfred Wright, Christopher Jigme Wright, Lars Wright",2019-07-26,2022-01-01,2022-06-16,,https://patents.google.com/patent/US20220191219A1/en,https://patentimages.storage.googleapis.com/ab/3e/92/9e934ab99c30b3/US20220191219A1-20220616-D00000.png
US-2022223256-A1,Diet System With The Use Of Cards ,Michail Makrynakis,Michail Makrynakis,2021-01-13,2022-01-01,2022-07-14,,https://patents.google.com/patent/US20220223256A1/en,https://patentimages.storage.googleapis.com/3b/56/c7/8bd4d0d7c824f1/US20220223256A1-20220714-D00000.png
US-11603712-B2,Downhole MCEI inductive coupler with helical coil ,Joe Fox,Joe Fox,2022-01-01,2022-01-01,2023-03-14,2023-03-14,https://patents.google.com/patent/US11603712B2/en,https://patentimages.storage.googleapis.com/46/e1/bf/88ec9d0125be43/US11603712-20230314-D00001.png
US-2022117696-A1,Optical coherence tomography augmented reality-based surgical microscope imaging system and method ,"Suzhou Institute Of Biomedical Engineering And Technology, Chinese Academy Of","Guohua Shi, Jinyu Fan, Yi He, Lina XING, Feng Gao",2019-07-01,2022-01-01,2022-04-21,,https://patents.google.com/patent/US20220117696A1/en,https://patentimages.storage.googleapis.com/94/16/35/9411e2974177eb/US20220117696A1-20220421-D00000.png
US-11658377-B2,Substrate-mountable electromagnetic waveguide ,"Knowles Cazenovia, Inc.","Jared Burdick, Pierre Nadeau",2020-09-04,2022-01-01,2023-05-23,2023-05-23,https://patents.google.com/patent/US11658377B2/en,https://patentimages.storage.googleapis.com/eb/5e/1a/c69a749dd73b58/US11658377-20230523-D00001.png
US-2022142167-A1,"Systems, methods, and apparatuses for disinfection and decontamination ","Richard S. Rader, Kenneth J. Heater, Raymond Desabato, Daniel P. Lorch, Adriane L. Lewis, Timothy N. Wells","Richard S. Rader, Kenneth J. Heater, Raymond Desabato, Daniel P. Lorch, Adriane L. Lewis, Timothy N. Wells",2020-06-08,2022-01-01,2022-05-12,,https://patents.google.com/patent/US20220142167A1/en,https://patentimages.storage.googleapis.com/a8/1f/6a/e679d44506568f/US20220142167A1-20220512-D00000.png
US-2022215830-A1,System and method for lip-syncing a face to target speech using a machine learning model ,"International Institute Of Information Technology, Hyderabad","C.V. Jawahar, Rudrabha Mukhopadhyay, K R Prajwal, Vinay Namboodiri",2021-01-02,2022-01-01,2022-07-07,,https://patents.google.com/patent/US20220215830A1/en,https://patentimages.storage.googleapis.com/c2/04/fd/0a1c34aa691007/US20220215830A1-20220707-D00000.png
US-2022122705-A1,"Central monitoring system, monitoring device, mobile terminal, and patient monitoring method ","Shenzhen Mindray Bio-Medical Electronics Co., Ltd.","Wenjun Liu, Shengping WANG, Liming Liang",2019-07-01,2022-01-01,2022-04-21,,https://patents.google.com/patent/US20220122705A1/en,https://patentimages.storage.googleapis.com/9d/83/2d/d9d66c675deb61/US20220122705A1-20220421-D00000.png
US-2022214756-A1,Electromechanical Slip Rings For A Foldable Display Device ,Stephen Delaporte,Stephen Delaporte,2021-01-01,2022-01-01,2022-07-07,,https://patents.google.com/patent/US20220214756A1/en,https://patentimages.storage.googleapis.com/e3/e6/0c/214f5c40bb6a8a/US20220214756A1-20220707-D00000.png
US-2022187877-A1,Transverse Compression Cam For A Flexible Display Device ,Lepton Computing Llc,Stephen E. Delaporte,2020-12-08,2022-01-01,2022-06-16,,https://patents.google.com/patent/US20220187877A1/en,https://patentimages.storage.googleapis.com/71/73/5c/73c4f48801a154/US20220187877A1-20220616-D00000.png
